Date,Week,Crop,State,Observation Type,Growth Stage,Crop Operation,Sowing Status,Harvest Status,Pest,Disease,Weather,Irrigation,Nutrient Management,Statistics,Evidence,PDF Name,Page,Chunk ID,Confidence,Verification Status,Source Method
2025-10-13,,Crop,Odisha,Pest Incidence,,,,,"Conditions Are Favourable For Further Withdrawal Of Southwest Monsoon From Remaining Parts  Of  Maharashtra,  Madhya  Pradesh,  Uttar  Pradesh  And  Bihar;  Entire  Jharkhand  And Some  Parts  Of  West  Bengal,  Sikkim,  Chhattisgarh,  Odisha  &Amp;  Telangana  During  Next  24 Hours And From North East India During Subsequent 1-2 Days",,,,,,"- Conditions are favourable for further withdrawal of southwest monsoon from remaining parts of Maharashtra, Madhya Pradesh, Uttar Pradesh and Bihar; entire Jharkhand and some parts of West Bengal, Sikkim, Chhattisgarh, Odisha &amp; Telangana during next 24 hours and from north east India during subsequent 1-2 days.",Minutes of the meeting of CWWG as on 13.10.2025.pdf,1,Minutes of the meeting of CWWG as on 13.10.2025_p1_c1,0.9,VERIFIED,rule_based
2025-11-17,,Crop,Punjab,Pest Incidence,,,,,"Cold  Wave  Conditions  Likely  To  Occur  At  Isolated  Pockets  Of  North  Rajasthan,  Punjab  &Amp; Haryana During Some Days Of The Week",,,,,,"- Cold wave conditions likely to occur at isolated pockets of north Rajasthan, Punjab &amp; Haryana during some days of the week.",Minutes of the meeting of CWWG as on 17.11.2025.pdf,1,Minutes of the meeting of CWWG as on 17.11.2025_p1_c1,0.9,VERIFIED,rule_based
2025-11-24,,Crop,Punjab,Pest Incidence,,,,,"Cold Wave Conditions Likely To Occur At Isolated Pockets Of West Rajasthan, South Punjab &Amp; South Haryana During Some Days Of The Week",,,,,,"Cold wave conditions likely to occur at isolated pockets of west Rajasthan, south Punjab &amp; south Haryana during some days of the week.",Minutes of the meeting of CWWG as on 24.11.2025.pdf,1,Minutes of the meeting of CWWG as on 24.11.2025_p1_c1,0.9,VERIFIED,rule_based
2025-12-01,,Crop,Punjab,Pest Incidence,,,,,Cold  Wave  Conditions Very  Likely  To  Prevail  In  Isolated  Pockets  Of  Punjab  On  28 Th  &Amp;  29 Th November; Over Rajasthan On 03 Rd,,,,,, Cold wave conditions very likely to prevail in isolated pockets of Punjab on 28 th &amp; 29 th November; over Rajasthan on 03 rd,Minutes of the meeting of CWWG as on 01.12.2025.pdf,1,Minutes of the meeting of CWWG as on 01.12.2025_p1_c1,0.9,VERIFIED,rule_based
2025-12-01,,Crop,Punjab,Pest Incidence,,,,,"Cold  Wave  Conditions  Likely  To  Occur  At  Isolated  Pockets  Of  North  Rajasthan,  Punjab  &Amp; Haryana During Some Days Of The Week",,,,,,"Cold wave conditions likely to occur at isolated pockets of north Rajasthan, Punjab &amp; Haryana during some days of the week.",Minutes of the meeting of CWWG as on 01.12.2025.pdf,1,Minutes of the meeting of CWWG as on 01.12.2025_p1_c2,0.9,VERIFIED,rule_based
2025-12-01,,Crop,Punjab,Pest Incidence,,,,,"Dense Fog Conditions  Likely  To  Prevail  During  Early  Morning  Hours  In  Isolated  Pockets  Of Himachal Pradesh, Punjab, Haryana Chandigarh &Amp; Delhi And Rajasthan During Some Days Of The Week",,,,,,"Dense fog conditions likely to prevail during early morning hours in isolated pockets of Himachal Pradesh, Punjab, Haryana Chandigarh &amp; Delhi and Rajasthan during some days of the week.",Minutes of the meeting of CWWG as on 01.12.2025.pdf,1,Minutes of the meeting of CWWG as on 01.12.2025_p1_c3,0.9,VERIFIED,rule_based
2025-12-08,,Crop,Maharashtra,Pest Incidence,,,,,No  Significant  Change  In  Minimum  Temperature  Likely  For  Next  5  Days  And  Fall  By  2-30C Thereafter During Subsequent 2 Days In Maharashtra And No Significant Change In Minimum Temperature Is Likely Over The Gujarat During Next 7 Days,,,,,,No significant change in minimum temperature likely for next 5 days and fall by 2-30C thereafter during subsequent 2 days in Maharashtra and no significant change in minimum temperature is likely over the Gujarat during next 7 days.,Minutes of the meeting of CWWG as on 08.12.2025.pdf,1,Minutes of the meeting of CWWG as on 08.12.2025_p1_c1,0.9,VERIFIED,rule_based
2025-12-08,,Crop,Punjab,Pest Incidence,,,,,"Dense Fog Conditions  Likely  To  Prevail  During  Early  Morning  Hours  In  Isolated  Pockets  Of Himachal Pradesh, Punjab, Haryana Chandigarh &Amp; Delhi And Rajasthan During Some Days Of The Week",,,,,,"Dense fog conditions likely to prevail during early morning hours in isolated pockets of Himachal Pradesh, Punjab, Haryana Chandigarh &amp; Delhi and Rajasthan during some days of the week.",Minutes of the meeting of CWWG as on 08.12.2025.pdf,1,Minutes of the meeting of CWWG as on 08.12.2025_p1_c2,0.9,VERIFIED,rule_based
2025-12-15,,Crop,Odisha,Pest Incidence,,,,,"Cold  Wave  Conditions  Are  Likely  To  Prevail  In  Isolated  Pockets  Over  Interior  Odisha, Adjoining Chhattisgarh, East Madhya Pradesh, Vidarbha, And Telangana During Some Days Of The Week",,,,,,"Cold wave conditions are likely to prevail in isolated pockets over interior Odisha, adjoining Chhattisgarh, East Madhya Pradesh, Vidarbha, and Telangana during some days of the week.",Minutes of the meeting of CWWG as on 15.12.2025.pdf,1,Minutes of the meeting of CWWG as on 15.12.2025_p1_c1,0.9,VERIFIED,rule_based
2025-12-15,,Crop,Punjab,Pest Incidence,,,,,"Dense Fog Conditions  Likely  To  Prevail  During  Early  Morning  Hours  In  Isolated  Pockets  Of Himachal Pradesh, Punjab, Haryana Chandigarh &Amp; Delhi And Rajasthan During Some Days Of The Week",,,,,,"Dense fog conditions likely to prevail during early morning hours in isolated pockets of Himachal Pradesh, Punjab, Haryana Chandigarh &amp; Delhi and Rajasthan during some days of the week.",Minutes of the meeting of CWWG as on 15.12.2025.pdf,1,Minutes of the meeting of CWWG as on 15.12.2025_p1_c2,0.9,VERIFIED,rule_based
2025-12-29,,Crop,Odisha,Pest Incidence,,,,,"Dense  Fog  Conditions  Are  Likely  To  Prevail  During  Night-Morning  Hours  At  A  Few  Pockets Across  North  And  Isolated  Over  Adjoin  Central  India,  Isolated  Over  Odisha,  Northeastern States And West Bengal And Sikkim On Some Days Of The Week",,,,,,"Dense fog conditions are likely to prevail during night-morning hours at a few pockets across north and isolated over adjoin central India, isolated over Odisha, Northeastern states and West Bengal and Sikkim on some days of the week.",Minutes of the meeting of CWWG as on 29.12.2025.pdf,1,Minutes of the meeting of CWWG as on 29.12.2025_p1_c1,0.9,VERIFIED,rule_based
2026-01-05,,Crop,Odisha,Pest Incidence,,,,,"Cold  Wave  Conditions  Are  Likely  Over  Some  Parts  Of  Punjab,  Haryana,  North  Rajasthan, North  Madhya  Pradesh,  Interior  Odisha, Adjoining Parts Of West Jharkhand, North Chhattisgarh, And South Uttar Pradesh During Some Days Of The Week",,,,,,"Cold wave conditions are likely over some parts of Punjab, Haryana, North Rajasthan, North Madhya Pradesh, interior Odisha, adjoining parts of west Jharkhand, north Chhattisgarh, and south Uttar Pradesh during some days of the week.",Minutes of the meeting of CWWG as on 05.01.2026.pdf,1,Minutes of the meeting of CWWG as on 05.01.2026_p1_c1,0.9,VERIFIED,rule_based
2026-01-12,,Crop,Karnataka,Pest Incidence,,,,,"Minimum Temperature Is Likely To Be Below Normal In Most Of India Except J&Amp;K, Some Parts Of Himachal Pradesh, Saurashtra-Kutch, Some Parts Of South Karnataka And Ne India",,,,,," Minimum Temperature is likely to be below normal in most of India except J&amp;K, some parts of Himachal Pradesh, Saurashtra-Kutch, some parts of South Karnataka and NE India.",Minutes of the meeting of CWWG as on 12.01.2026.pdf,1,Minutes of the meeting of CWWG as on 12.01.2026_p1_c1,0.9,VERIFIED,rule_based
2026-01-12,,Crop,Odisha,Pest Incidence,,,,,"Cold  Wave  Conditions  Likely  To  Occur  At  Isolated  Pockets  Of  Chhattisgarh,  Jharkhand  And Odisha During Some Days Of The Week",,,,,,"Cold wave conditions likely to occur at isolated pockets of Chhattisgarh, Jharkhand and Odisha during some days of the week.",Minutes of the meeting of CWWG as on 12.01.2026.pdf,1,Minutes of the meeting of CWWG as on 12.01.2026_p1_c2,0.9,VERIFIED,rule_based
2026-01-12,,Crop,Punjab,Pest Incidence,,,,,"Dense Fog Conditions  Likely  To  Prevail  During  Early  Morning  Hours  In  Isolated  Pockets  Of Western  Himalayan  Region,  Punjab,  Haryana  &Amp;  Chandigarh  And  North  Rajasthan,  Uttar Pradesh, Bihar And Northeastern States During Some Days Of The Week",,,,,,"Dense fog conditions likely to prevail during early morning hours in isolated pockets of Western Himalayan region, Punjab, Haryana &amp; Chandigarh and north Rajasthan, Uttar Pradesh, Bihar and northeastern states during some days of the week.",Minutes of the meeting of CWWG as on 12.01.2026.pdf,1,Minutes of the meeting of CWWG as on 12.01.2026_p1_c3,0.9,VERIFIED,rule_based
2026-01-27,,Crop,Karnataka,Pest Incidence,,,,,"West  Madhya  Pradesh,   Many  Parts  Of  Madhya  Maharashtra,  Ne  India  And Some  Parts  Of  South Karnataka",,,,,,"West Madhya Pradesh, many parts of Madhya Maharashtra, NE India and some parts of South Karnataka .",Minutes of the meeting of CWWG as on 27.01.2026.pdf,1,Minutes of the meeting of CWWG as on 27.01.2026_p1_c1,0.9,VERIFIED,rule_based
2026-01-27,,Crop,Punjab,Pest Incidence,,,,,"Cold Wave Conditions Likely In Isolated Pockets Over Himachal Pradesh During 29Th-31St; Punjab, Haryana, Chandigarh During 28Th-31St January",,,,,,"Cold wave conditions likely in isolated pockets over Himachal Pradesh during 29th-31st; Punjab, Haryana, Chandigarh during 28th-31st January.",Minutes of the meeting of CWWG as on 27.01.2026.pdf,1,Minutes of the meeting of CWWG as on 27.01.2026_p1_c2,0.9,VERIFIED,rule_based
2026-02-02,,Crop,Karnataka,Pest Incidence,,,,,"Parts  Of  J&Amp;K,  West  Madhya  Pradesh,   Many  Parts  Of  Madhya  Maharashtra,  Ne  India And Some Parts Of South Karnataka",,,,,,"parts of J&amp;K, West Madhya Pradesh, many parts of Madhya Maharashtra, NE India and some parts of South Karnataka.",Minutes of the meeting of CWWG as on 02.02.2026.pdf,1,Minutes of the meeting of CWWG as on 02.02.2026_p1_c1,0.9,VERIFIED,rule_based
2026-02-09,,Crop,Maharashtra,Pest Incidence,,,,,"Minimum Temperature Is Likely To  Be  Below  Normal In Many Parts Of East  India,  Central India,  South India, Many Parts Of Maharashtra, Uttar Pradesh, Haryana, Punjab And Many Parts Of West Rajasthan",,,,,," Minimum Temperature is likely to be below normal in many parts of East India, Central India, South India, many parts of Maharashtra, Uttar Pradesh, Haryana, Punjab and many parts of West Rajasthan.",Minutes of the meeting of CWWG as on 09.02.2026.pdf,1,Minutes of the meeting of CWWG as on 09.02.2026_p1_c1,0.9,VERIFIED,rule_based
2026-02-16,,Crop,Karnataka,Pest Incidence,,,,,"No Significant Change In Maximum Temperatures Likely Over Karnataka, Kerala &Amp; Mahe And Konkan &Amp; Goa And Gradual Rise By About 2 ° C For Subsequent Days",,,,,," No significant change in maximum temperatures likely over Karnataka, Kerala &amp; Mahe and Konkan &amp; Goa and gradual rise by about 2 ° C for subsequent days.",Minutes of the meeting of CWWG as on 16.02.2026.pdf,1,Minutes of the meeting of CWWG as on 16.02.2026_p1_c1,0.9,VERIFIED,rule_based
2026-02-16,,Crop,Karnataka,Pest Incidence,,,,,Hot And Humid Conditions Likely Over Coastal Karnataka And Konkan &Amp; Goa,,,,,,Hot and Humid conditions likely over Coastal Karnataka and Konkan &amp; Goa.,Minutes of the meeting of CWWG as on 16.02.2026.pdf,1,Minutes of the meeting of CWWG as on 16.02.2026_p1_c2,0.9,VERIFIED,rule_based
2026-03-02,,Crop,Punjab,Pest Incidence,,,,,"Groundwater Levels :  In  August  2025,  In  Post-Monsoon 2025, Around 90% Of The Country'S Monitoring Stations Exhibited A Depth To Water Level Within 10 Meters Below Ground Level. Deeper  Water  Levels  Of  More  Than  20  M  Are  Observed  In  Around  5%  Of  Stations  Of  The Country  Covering  Mainly  The  Western  States,  Especially  Western  Rajasthan,  Punjab, Haryana And Chandigarh",,,,,,"- b) Groundwater Levels : In August 2025, In Post-monsoon 2025, around 90% of the country's monitoring stations exhibited a depth to water level within 10 meters below ground level. Deeper water levels of more than 20 m are observed in around 5% of stations of the country covering mainly the western states, especially Western Rajasthan, Punjab, Haryana and Chandigarh.",Minutes of the meeting of CWWG as on 02.03.2026.pdf,1,Minutes of the meeting of CWWG as on 02.03.2026_p1_c1,0.9,VERIFIED,rule_based
2026-03-02,,Crop,Punjab,Pest Incidence,,,,,"The Deeper Groundwater Level In The States Like Western Rajasthan, Punjab, Haryana And Chandigarh  During  Post-Monsoon  2025  Has  Been  Significantly  Influenced  By  The  Over Extraction Of Groundwater Compared To The Recharge During The Monsoon Period",,,,,,"The deeper groundwater level in the states like Western Rajasthan, Punjab, Haryana and Chandigarh during Post-monsoon 2025 has been significantly influenced by the over extraction of groundwater compared to the recharge during the monsoon period.",Minutes of the meeting of CWWG as on 02.03.2026.pdf,1,Minutes of the meeting of CWWG as on 02.03.2026_p1_c2,0.9,VERIFIED,rule_based
2026-03-02,,Crop,Punjab,Pest Incidence,,,,,,,,,,,"The Groundwater Drought Indices indicate that in Post-monsoon 2025 , groundwater conditions across India remained largely stable, with 91% of monitoring stations showing no deficit . However, localized deficits were observed in several regions notably in Meghalaya, Nagaland, and the Dadar Nagar Havili &amp; Daman &amp; Diu.",Minutes of the meeting of CWWG as on 02.03.2026.pdf,1,Minutes of the meeting of CWWG as on 02.03.2026_p1_c3,0.9,VERIFIED,rule_based
2026-03-02,,Crop,Maharashtra,Pest Incidence,,,,,Leaf curl,,,,,,"- c) Fertilizers : The fertilizer supply remains stable across all products.
4. Pests &amp; Diseases : Intensity of pests and diseases at some fields has been reported to be above Economic Threshold Level for Citrus (Gummosis) and Chilli (Leaf curl) in Maharashtra. The Advisory has been issued by the survey team to the farms and regular monitoring is being
carried out. The overall intensity of pests and diseases remained below the Economic Threshold Level.",Minutes of the meeting of CWWG as on 02.03.2026.pdf,1,Minutes of the meeting of CWWG as on 02.03.2026_p1_c4,0.9,VERIFIED,rule_based
2026-03-02,,Crop,Karnataka,Pest Incidence,,,,,"Minimum  Temperature  Is  Likely  To  Be  Above  Normal  In  Many  Parts  Of  Nw  India,  Bihar, Gujarat  State,  Some  Parts  Of  Madhya  Maharashtra,  Many  Parts  Of  M.P.,  South  Karnataka, Some  Parts  Of  Tamil  Nadu,  Rayalseema,  Southern  Parts  Of  Cap  And  Ne  India.  Tmin  Is Likely  To  Be  Below  Normal  In  Many  Parts  Of  East  India,  Many  Parts  Of  Maharashtra  And Kerala",,,,,,"Minimum temperature is likely to be above normal in many parts of NW India, Bihar, Gujarat state, some parts of Madhya Maharashtra, many parts of M.P., South Karnataka, some parts of Tamil Nadu, Rayalseema, Southern parts of CAP and NE India. TMIN is likely to be below normal in many parts of East India, many parts of Maharashtra and Kerala.",Minutes of the meeting of CWWG as on 02.03.2026.pdf,1,Minutes of the meeting of CWWG as on 02.03.2026_p1_c5,0.9,VERIFIED,rule_based
2026-03-16,,Crop,Maharashtra,Pest Incidence,,,,,"Maximum Temperatures Are Likely To Be Above Normal Over Most Parts Of The Country Except, Madhya  Pradesh,  Interior  Maharashtra,  Interior-Karnatak,  Telangana,  Rayalaseema,  And Kerala; Where They Are Below Normal By 2-3°C During The Week",,,,,," Maximum temperatures are likely to be above normal over most parts of the country except, Madhya Pradesh, interior Maharashtra, interior-Karnatak, Telangana, Rayalaseema, and Kerala; where they are below normal by 2-3°C during the week.",Minutes of the meeting of CWWG as on 16.03.2026.pdf,1,Minutes of the meeting of CWWG as on 16.03.2026_p1_c1,0.9,VERIFIED,rule_based
2026-03-16,,Crop,Odisha,Pest Incidence,,,,,"Maximum  Temperatures  Are  Likely  To  Be  Above  Normal  Over  J&Amp;K,  Himachal  Pradesh, Uttarakhand,  Arunachal  Pradesh,  Odisha,  Some  Parts  Of  East  M.P.,  Chhattisgarh,  Tamil Nadu, Cap, Coastal Karnataka, Konkan-Goa And Gujarat",,,,,," Maximum temperatures are likely to be above normal over J&amp;K, Himachal Pradesh, Uttarakhand, Arunachal Pradesh, Odisha, some parts of East M.P., Chhattisgarh, Tamil Nadu, CAP, Coastal Karnataka, Konkan-Goa and Gujarat.",Minutes of the meeting of CWWG as on 16.03.2026.pdf,1,Minutes of the meeting of CWWG as on 16.03.2026_p1_c2,0.9,VERIFIED,rule_based
2026-03-30,,Crop,Karnataka,Pest Incidence,,,,,"Maximum Temperature Is Likely To Be Above Normal Over Many Parts Of North West India, East India, Chhattisgarh, Konkan &Amp; Goa, Coastal Karnataka, North Kerala, Coastal Andhra Pradesh &Amp; Yanam And Coastal Regions Of Tamil Nadu",,,,,," Maximum Temperature is likely to be above normal over many parts of North West India, East India, Chhattisgarh, Konkan &amp; Goa, Coastal Karnataka, North Kerala, Coastal Andhra Pradesh &amp; Yanam and coastal regions of Tamil Nadu.",Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c3,0.9,VERIFIED,rule_based
2026-03-30,,Crop,Chhattisgarh,Pest Incidence,,,,,"Maximum  Temperature  Is  Likely  To  Be  Above  Normal  Over  Many  Parts  Of  North  West  India,  East India, South India, Chhattisgarh And Konkan &Amp; Goa",,,,,," Maximum temperature is likely to be above normal over many parts of North West India, East India, South India, Chhattisgarh and Konkan &amp; Goa.",Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c4,0.9,VERIFIED,rule_based
2026-04-06,,Crop,Odisha,Pest Incidence,,,,,"Maximum Temperature Is Likely To Be Above Normal In North East India, Many Parts Of Bihar, Many Parts Of J&Amp;K And In Coastal Regions Of Odisha, Coastal Andhra Pradesh And Kerala",,,,,," Maximum Temperature is likely to be above normal in North East India, many parts of Bihar, many parts of J&amp;K and in coastal regions of Odisha, Coastal Andhra Pradesh and Kerala.",Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c3,0.9,VERIFIED,rule_based
2026-04-06,,Crop,Odisha,Pest Incidence,,,,,Low Probability  Of  Heat  Wave  Conditions  Likely  During  The  Second  Half  Of  The  Week  Over  Coastal Odisha And Adjoining North Coastal Andhra Pradesh,,,,,, Low Probability of Heat Wave conditions likely during the second half of the week over Coastal Odisha and adjoining north Coastal Andhra Pradesh.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c4,0.9,VERIFIED,rule_based
2026-04-06,,Crop,Odisha,Pest Incidence,,,,,"Appreciably  Above  Normal  (+3.1  To  +5.0°C)  Maximum  Temperatures  Are  Likely  Over  Some  Parts  Of Interior &Amp; Coastal Odisha And Adjoining Coastal Andhra Pradesh; Normal To Above-Normal Maximum Temperatures ((+1.6 To +3.0°C) Are Likely Over Some Parts Of The East, South And Western Parts Of India (Gangetic West Bengal, Odisha, Coastal Andhra Pradesh, Tamil Nadu, Southern Parts Of Kerala, Coastal  Regions  Of  Gujarat  State,  Konkan,  Goa  And  Coastal  Karnataka).  Normal  To  Below  Normal Weekly Maximum Temperatures Are Likely Across The Rest Of The Country",,,,,,"Appreciably above normal (+3.1 to +5.0°C) maximum temperatures are likely over some parts of interior &amp; coastal Odisha and adjoining Coastal Andhra Pradesh; normal to above-normal maximum temperatures ((+1.6 to +3.0°C) are likely over some parts of the East, South and Western parts of India (Gangetic West Bengal, Odisha, Coastal Andhra Pradesh, Tamil Nadu, southern parts of Kerala, coastal regions of Gujarat state, Konkan, Goa and coastal Karnataka). Normal to below normal weekly maximum temperatures are likely across the rest of the country.",Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c5,0.9,VERIFIED,rule_based
2026-04-13,,Crop,Odisha,Pest Incidence,,,,,"Low To Moderate Probability Of Heat Wave Conditions Likely During The Week 2 Over Some Parts Of Odisha, Jharkhand, Bihar, Chhattisgarh, &Amp; North Coastal Andhra Pradesh. Appreciably Above Normal (+3.1 To +5.0°C) Maximum Temperatures Are Likely Over Some Parts Of Odisha, North Coastal Andhra Pradesh, Jharkhand, Bihar, Chhattisgarh, Gangetic West Bengal And East Uttar Pradesh; Normal To Above-Normal  Maximum  Temperatures  ((+1.6  To  +3.0°C)  Are  Likely  Over  Most  Parts  Of  Northwest India,  And  Many  Parts  Of  The  East  &Amp;  Northeast,  South  And  Western  Parts  Of  India.  Below-Normal Weekly Maximum Temperatures Are Likely In Isolated Places Over The Rest Of The Country",,,,,," Low to moderate Probability of Heat Wave conditions likely during the week 2 over some parts of Odisha, Jharkhand, Bihar, Chhattisgarh, &amp; north Coastal Andhra Pradesh. Appreciably above normal (+3.1 to +5.0°C) maximum temperatures are likely over some parts of Odisha, north Coastal Andhra Pradesh, Jharkhand, Bihar, Chhattisgarh, Gangetic West Bengal and East Uttar Pradesh; normal to above-normal maximum temperatures ((+1.6 to +3.0°C) are likely over most parts of Northwest India, and many parts of the East &amp; Northeast, South and Western parts of India. Below-normal weekly maximum temperatures are likely in isolated places over the rest of the country.",Minutes of the meeting of CWWG as on 13.04.2026.pdf,1,Minutes of the meeting of CWWG as on 13.04.2026_p1_c3,0.9,VERIFIED,rule_based
